Model Name,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
ProsusAI/finbert,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
yiyanghkust/finbert-tone,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment-latest,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
finiteautomata/beto-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
oliverguhr/german-sentiment-bert,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA
christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
