Model Name,Testing Data,Factors,Metrics,Results,Summary
BeChi87/train_model_Lastest_16_8_lan2,NIA,NIA,NIA,NIA,NIA
Svetlana0303/Classfication_electra,NIA,NIA,PIA,FIA,NIA
raygx/BERT-NepSA-domainAdapt,NIA,NIA,NIA,NIA,NIA
fassahat/anferico-bert-for-patents-finetuned-150k-sentences,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Qarib-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,,,,,
BeChi87/train_model_Lastest_21,NIA,NIA,NIA,NIA,NIA
KarelDO/lstm.CEBaB_confounding.food_service_positive.absa.5-class.seed_42,NIA,NIA,NIA,FIA,NIA
aarnphm/multi-length-text-classification-pipeline,,,,,
blinjrm/finsent,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try15_fold4,NIA,NIA,PIA,FIA,NIA
AlonCohen/RuSentNE-test,NIA,NIA,NIA,NIA,NIA
salohnana2018/MARBERTV02ABSAnew,NIA,NIA,NIA,NIA,NIA
raygx/distilBERT-NepSA,NIA,NIA,NIA,NIA,NIA
Narsil/finbert2,NIA,NIA,NIA,PIA,NIA
Robher51/Model3,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run2,,,,,
niksmer/RoBERTa-RILE,FIA,PIA,FIA,FIA,NIA
chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,NIA,NIA,PIA,FIA,NIA
yanezh/twiiter_try13_fold1,NIA,NIA,NIA,NIA,NIA
ruanchaves/bert-base-portuguese-cased-assin-entailment,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try10_fold0,NIA,NIA,NIA,NIA,NIA
intanm/mlm_v1_20230327_fin_sa_100,NIA,NIA,PIA,FIA,NIA
intanm/fin-sa-post-trained-indobert-base-finnews-p2-001,NIA,NIA,NIA,NIA,NIA
intanm/baseline_fin_sa_100,NIA,NIA,NIA,NIA,NIA
intanm/mlm_v1_20230327_fin_sa_90,NIA,NIA,PIA,FIA,NIA
BramVanroy/xlm-roberta-base-hebban-reviews,NIA,NIA,PIA,FIA,NIA
yanezh/twiiter_try11_fold3,NIA,NIA,NIA,NIA,NIA
cnut1648/biolinkbert-mnli,NIA,NIA,NIA,PIA,NIA
israel/testing_model,NIA,NIA,NIA,NIA,NIA
intanm/sa100-mlm-20230403-001-2,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-base-finreport,NIA,NIA,NIA,NIA,NIA
sasha/autotrain-BERTBase-TweetEval-1281248998,NIA,NIA,FIA,NIA,NIA
ozoora/rubert-4.1poi,NIA,NIA,NIA,NIA,NIA
midwinter73/dipterv6,NIA,NIA,PIA,FIA,NIA
sasha/autotrain-DistilBERT-TweetEval-1281148991,NIA,NIA,FIA,NIA,NIA
yanezh/twiiter_try4_fold3,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try5_fold3,NIA,NIA,NIA,NIA,NIA
asaderu-ai/ssclass_best,NIA,NIA,FIA,NIA,NIA
cruiser/distilbert_final_config_dropout,NIA,NIA,NIA,NIA,NIA
BeChi87/train_model_Lastestttt,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try5_fold0,NIA,NIA,NIA,NIA,NIA
philschmid/finbert-tone-endpoint-ds,NIA,NIA,NIA,NIA,NIA
intanm/baseline_fin_sa_60,NIA,NIA,NIA,NIA,NIA
ymcnabb/dutch_threeway_sentiment_classification_v2,NIA,NIA,NIA,NIA,NIA
Bennet1996/finetuning-ESG-sentiment-model-distilbert,NIA,NIA,NIA,NIA,NIA
