Model Name,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model
ProsusAI/finbert,FIA,NIA,NIA,NIA,NIA,NIA
yiyanghkust/finbert-tone,FIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/twitter-roberta-base-sentiment-latest,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/twitter-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
finiteautomata/beto-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,NIA,NIA,NIA,NIA,FIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,NIA,NIA,NIA,FIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
oliverguhr/german-sentiment-bert,FIA,NIA,NIA,NIA,NIA,NIA
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,NIA,NIA,FIA
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,PIA,NIA,FIA
Seethal/sentiment_analysis_generic_dataset,FIA,FIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,FIA,FIA,NIA,NIA,NIA,NIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,NIA,NIA,NIA,NIA,NIA,FIA
snunlp/KR-FinBert-SC,FIA,FIA,NIA,NIA,NIA,NIA
soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,NIA,NIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA,FIA
RecordedFuture/Swedish-Sentiment-Fear,NIA,NIA,NIA,NIA,NIA,FIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis,FIA,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-base-absa-v1.1,FIA,NIA,NIA,NIA,NIA,FIA
hakonmh/sentiment-xdistil-uncased,FIA,NIA,NIA,NIA,NIA,FIA
avichr/heBERT_sentiment_analysis,FIA,FIA,NIA,NIA,NIA,FIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,NIA,NIA,NIA,FIA
j-hartmann/sentiment-roberta-large-english-3-classes,NIA,NIA,NIA,NIA,NIA,FIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,FIA,NIA,NIA,NIA,FIA,FIA
fergusq/finbert-finnsentiment,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,FIA,NIA,NIA,FIA,NIA,FIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,NIA,NIA,FIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,NIA,FIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,FIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,NIA,NIA,NIA
lucas-leme/FinBERT-PT-BR,PIA,NIA,NIA,NIA,NIA,FIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,NIA,FIA
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,NIA,NIA,FIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,NIA,NIA,FIA
seara/rubert-tiny2-russian-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
mdraw/german-news-sentiment-bert,FIA,NIA,NIA,NIA,NIA,FIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,FIA
alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,NIA,FIA
eevvgg/StanceBERTa,FIA,NIA,NIA,NIA,FIA,FIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,NIA,FIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
yangheng/deberta-v3-large-absa-v1.1,NIA,NIA,NIA,NIA,NIA,FIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,NIA,NIA
turing-usp/FinBertPTBR,NIA,NIA,NIA,NIA,NIA,FIA
Voicelab/herbert-base-cased-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,NIA,NIA,NIA,NIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,FIA,NIA,NIA,NIA,FIA,FIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,FIA,NIA,FIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
larskjeldgaard/senda,NIA,NIA,NIA,NIA,NIA,FIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,NIA,NIA,NIA,NIA,FIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,FIA,NIA,NIA,NIA,NIA,FIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,NIA,NIA,NIA,FIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,FIA,FIA,NIA,NIA,FIA,FIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,FIA,NIA,NIA,NIA,NIA,NIA
Davlan/naija-twitter-sentiment-afriberta-large,NIA,NIA,NIA,FIA,NIA,FIA
bardsai/finance-sentiment-zh-base,FIA,NIA,NIA,NIA,NIA,FIA
seara/rubert-base-cased-russian-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,NIA,FIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,NIA,NIA,NIA,FIA
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,NIA,NIA,FIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,NIA
