Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
sismetanin/rubert_conversational-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
RogerB/kin-sentiC,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Anthos23/my-awesome-model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
course5i/SEAD-L-6_H-256_A-8-mnli,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Narsil/finbert-slow,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
FinScience/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
senfu/bert-base-uncased-top-pruned-mnli,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
ruanchaves/bert-base-portuguese-cased-porsimplessent,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Cincin-nvp/NusaX-senti_XLM-R,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
rhythm00/HF_tutor,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
mlkorra/obgv-gender-bert-hi-en,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Svetlana0303/Classfication_longformer,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sara-nabhani/ML-ns-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
yanezh/twiiter_try6_fold1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
davidchiii/news-headlines,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Hyeonseo/finance_news_classifier,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
finiteautomata/beto-headlines-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
MavisAJ/Sentiment_analysis_roberta_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-v-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
benjaminbeilharz/bert-base-uncased-sentiment-classifier,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
oandreae/financial_sentiment_model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_financial_news,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
UchihaMadara/phobert-finetuned-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
salohnana2018/ARABERT02-best-trail,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
neojex/testing,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
CultureBERT/roberta-large-adhocracy,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
yanezh/twiiter_try10_fold4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
