Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
ProsusAI/finbert,FIA,PIA,PIA,PIA,NIA
yiyanghkust/finbert-tone,FIA,PIA,PIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,PIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,NIA,PIA,NIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,PIA,NIA
blanchefort/rubert-base-cased-sentiment,FIA,FIA,FIA,FIA,FIA
finiteautomata/beto-sentiment-analysis,FIA,PIA,PIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,PIA,NIA,NIA,FIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,NIA,NIA,NIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,PIA,PIA,FIA,PIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,FIA,PIA,PIA,NIA,NIA
oliverguhr/german-sentiment-bert,FIA,PIA,PIA,PIA,PIA
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,NIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,FIA,FIA,FIA,FIA,FIA
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,FIA,FIA,FIA,NIA,NIA
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,PIA,PIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,FIA,NIA,NIA,FIA,NIA
snunlp/KR-FinBert-SC,FIA,NIA,NIA,FIA,FIA
soleimanian/financial-roberta-large-sentiment,NIA,PIA,NIA,NIA,NIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,PIA,NIA,NIA,FIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,PIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,FIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,PIA,NIA,NIA,NIA,NIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,FIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,PIA,NIA,NIA,FIA,NIA
sbcBI/sentiment_analysis,PIA,PIA,PIA,PIA,PIA
yangheng/deberta-v3-base-absa-v1.1,NIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,PIA,NIA,NIA,PIA,PIA
avichr/heBERT_sentiment_analysis,FIA,PIA,FIA,PIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,PIA,NIA,NIA,FIA,NIA
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,NIA,PIA,NIA
j-hartmann/sentiment-roberta-large-english-3-classes,FIA,PIA,PIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,PIA,PIA
fergusq/finbert-finnsentiment,FIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,FIA,NIA,FIA,FIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,NIA,NIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,PIA,NIA,NIA,FIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,PIA,NIA,NIA,FIA,NIA
lucas-leme/FinBERT-PT-BR,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,PIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,FIA,NIA,NIA,NIA,NIA
