Model Name,Testing Data,Factors,Metrics,Results,Summary
oferweintraub/bert-base-finance-sentiment-noisy-search,NIA,NIA,NIA,NIA,NIA
nimaafshar/parsbert-fa-sentiment-twitter,NIA,NIA,NIA,NIA,NIA
KBLab/robust-swedish-sentiment-multiclass,NIA,NIA,NIA,NIA,NIA
mstafam/fine-tuned-bert-financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment,PIA,PIA,PIA,PIA,NIA
IsaacSarps/sentiment_analysis,NIA,NIA,NIA,NIA,NIA
Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,NIA,PIA,NIA
m3hrdadfi/albert-fa-base-v2-sentiment-multi,PIA,PIA,PIA,PIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-zh-fast,NIA,NIA,PIA,PIA,NIA
EMBEDDIA/rubert-tweetsentiment,NIA,NIA,NIA,NIA,NIA
ramnika003/autotrain-sentiment_analysis_project-705021428,PIA,NIA,PIA,PIA,NIA
pysentimiento/roberta-es-sentiment,NIA,NIA,NIA,NIA,NIA
Softechlb/Sent_analysis_CVs,NIA,NIA,NIA,NIA,NIA
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,NIA,NIA,PIA,NIA
ganeshkharad/gk-hinglish-sentiment,PIA,NIA,NIA,NIA,NIA
akahana/indonesia-sentiment-roberta,NIA,NIA,NIA,NIA,NIA
sahri/indonesiasentiment,PIA,NIA,PIA,PIA,NIA
Venkatesh4342/xlm-roberta-helpdesk-sentiment,PIA,PIA,PIA,PIA,NIA
KernAI/stock-news-distilbert,PIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,PIA,PIA,PIA,PIA,PIA
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,NIA,PIA,NIA
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,PIA,PIA,PIA,PIA,PIA
