model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,"['neutral', 'entailment', 'contradiction']",621ffdc136468d709f181adb,23212,12,['RobertaForSequenceClassification'],"['snli', 'anli', 'multi_nli', 'multi_nli_mismatch', 'fever']",,,text-classification,2021-05-20 23:17:23+00:00,"['transformers', 'pytorch', 'jax', 'roberta', 'text-classification', 'dataset:snli', 'dataset:anli', 'dataset:multi_nli', 'dataset:multi_nli_mismatch', 'dataset:fever', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'has_space', 'region:us']"
Huffon/klue-roberta-base-nli,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",621ffdc036468d709f175e1f,269,5,['RobertaForSequenceClassification'],['klue'],ko,,text-classification,2021-06-20 17:32:53+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'nli', 'ko', 'dataset:klue', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ynie/bart-large-snli_mnli_fever_anli_R1_R2_R3-nli,"['neutral', 'entailment', 'contradiction']",621ffdc136468d709f181ad9,180,2,['BartForSequenceClassification'],NA,NA,NA,text-classification,2020-10-17 02:00:14+00:00,"['transformers', 'pytorch', 'bart', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
IDEA-CCNL/Erlangshen-MegatronBert-1.3B-NLI,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",627c86e8fbab61b048f0daf6,60,3,['MegatronBertForSequenceClassification'],,['zh'],,text-classification,2023-05-26 06:33:52+00:00,"['transformers', 'pytorch', 'megatron-bert', 'text-classification', 'bert', 'NLU', 'NLI', 'zh', 'arxiv:2209.02970', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Intradiction/NLI-Conventional-Fine-Tuning,"['LABEL_1', 'LABEL_2', 'LABEL_0']",65c569966af2d88212cc6ccf,156,0,['AlbertForSequenceClassification'],NA,NA,NA,text-classification,2024-02-15 16:44:28+00:00,"['transformers', 'tensorboard', 'safetensors', 'albert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/roberta-large-e-snli-classification-nli-base,"['neutral', 'contradiction', 'entailment']",6419a63ae4e6552b05d87833,185,0,['RobertaForSequenceClassification'],['esnli'],,"['f1', 'accuracy']",text-classification,2023-03-21 13:47:33+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:esnli', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
JIWON/bert-base-finetuned-nli,"['LABEL_1', 'LABEL_2', 'LABEL_0']",621ffdc036468d709f175f88,115,0,['BertForSequenceClassification'],['klue'],,['accuracy'],text-classification,2022-02-07 00:29:00+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
parsi-ai-nlpclass/ParsBERT-nli-FarsTail-FarSick,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65d6146e876b7d9398748b05,90,1,['BertForSequenceClassification'],,,['accuracy'],text-classification,2024-03-03 09:38:44+00:00,"['transformers', 'tensorboard', 'safetensors', 'bert', 'text-classification', 'generated_from_trainer', 'base_model:HooshvareLab/bert-fa-zwnj-base', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'has_space', 'region:us']"
sileod/deberta-v3-small-tasksource-nli,"['neutral', 'entailment', 'contradiction']",65ba36c403bb6d3836afbee3,134,2,['DebertaV2ForSequenceClassification'],"['nyu-mll/glue', 'super_glue', 'facebook/anli', 'tasksource/babi_nli', 'sick', 'snli', 'scitail', 'OpenAssistant/oasst1', 'universal_dependencies', 'hans', 'qbao775/PARARULE-Plus', 'alisawuffles/WANLI', 'metaeval/recast', 'sileod/probability_words_nli', 'joey234/nan-nli', 'pietrolesci/nli_fever', 'pietrolesci/breaking_nli', 'pietrolesci/conj_nli', 'pietrolesci/fracas', 'pietrolesci/dialogue_nli', 'pietrolesci/mpe', 'pietrolesci/dnc', 'pietrolesci/gpt3_nli', 'pietrolesci/recast_white', 'pietrolesci/joci', 'martn-nguyen/contrast_nli', 'pietrolesci/robust_nli', 'pietrolesci/robust_nli_is_sd', 'pietrolesci/robust_nli_li_ts', 'pietrolesci/gen_debiased_nli', 'pietrolesci/add_one_rte', 'metaeval/imppres', 'pietrolesci/glue_diagnostics', 'hlgd', 'PolyAI/banking77', 'paws', 'quora', 'medical_questions_pairs', 'conll2003', 'nlpaueb/finer-139', 'Anthropic/hh-rlhf', 'Anthropic/model-written-evals', 'truthful_qa', 'nightingal3/fig-qa', 'tasksource/bigbench', 'blimp', 'cos_e', 'cosmos_qa', 'dream', 'openbookqa', 'qasc', 'quartz', 'quail', 'head_qa', 'sciq', 'social_i_qa', 'wiki_hop', 'wiqa', 'piqa', 'hellaswag', 'pkavumba/balanced-copa', '12ml/e-CARE', 'art', 'tasksource/mmlu', 'winogrande', 'codah', 'ai2_arc', 'definite_pronoun_resolution', 'swag', 'math_qa', 'metaeval/utilitarianism', 'mteb/amazon_counterfactual', 'SetFit/insincere-questions', 'SetFit/toxic_conversations', 'turingbench/TuringBench', 'trec', 'tals/vitaminc', 'hope_edi', 'strombergnlp/rumoureval_2019', 'ethos', 'tweet_eval', 'discovery', 'pragmeval', 'silicone', 'lex_glue', 'papluca/language-identification', 'imdb', 'rotten_tomatoes', 'ag_news', 'yelp_review_full', 'financial_phrasebank', 'poem_sentiment', 'dbpedia_14', 'amazon_polarity', 'app_reviews', 'hate_speech18', 'sms_spam', 'humicroedit', 'snips_built_in_intents', 'banking77', 'hate_speech_offensive', 'yahoo_answers_topics', 'pacovaldez/stackoverflow-questions', 'zapsdcn/hyperpartisan_news', 'zapsdcn/sciie', 'zapsdcn/citation_intent', 'go_emotions', 'allenai/scicite', 'liar', 'relbert/lexical_relation_classification', 'metaeval/linguisticprobing', 'tasksource/crowdflower', 'metaeval/ethics', 'emo', 'google_wellformed_query', 'tweets_hate_speech_detection', 'has_part', 'wnut_17', 'ncbi_disease', 'acronym_identification', 'jnlpba', 'species_800', 'SpeedOfMagic/ontonotes_english', 'blog_authorship_corpus', 'launch/open_question_type', 'health_fact', 'commonsense_qa', 'mc_taco', 'ade_corpus_v2', 'prajjwal1/discosense', 'circa', 'PiC/phrase_similarity', 'copenlu/scientific-exaggeration-detection', 'quarel', 'mwong/fever-evidence-related', 'numer_sense', 'dynabench/dynasent', 'raquiba/Sarcasm_News_Headline', 'sem_eval_2010_task_8', 'demo-org/auditor_review', 'medmcqa', 'aqua_rat', 'RuyuanWan/Dynasent_Disagreement', 'RuyuanWan/Politeness_Disagreement', 'RuyuanWan/SBIC_Disagreement', 'RuyuanWan/SChem_Disagreement', 'RuyuanWan/Dilemmas_Disagreement', 'lucasmccabe/logiqa', 'wiki_qa', 'metaeval/cycic_classification', 'metaeval/cycic_multiplechoice', 'metaeval/sts-companion', 'metaeval/commonsense_qa_2.0', 'metaeval/lingnli', 'metaeval/monotonicity-entailment', 'metaeval/arct', 'metaeval/scinli', 'metaeval/naturallogic', 'onestop_qa', 'demelin/moral_stories', 'corypaik/prost', 'aps/dynahate', 'metaeval/syntactic-augmentation-nli', 'metaeval/autotnli', 'lasha-nlp/CONDAQA', 'openai/webgpt_comparisons', 'Dahoas/synthetic-instruct-gptj-pairwise', 'metaeval/scruples', 'metaeval/wouldyourather', 'sileod/attempto-nli', 'metaeval/defeasible-nli', 'metaeval/help-nli', 'metaeval/nli-veridicality-transitivity', 'metaeval/natural-language-satisfiability', 'metaeval/lonli', 'tasksource/dadc-limit-nli', 'ColumbiaNLP/FLUTE', 'metaeval/strategy-qa', 'openai/summarize_from_feedback', 'tasksource/folio', 'metaeval/tomi-nli', 'metaeval/avicenna', 'stanfordnlp/SHP', 'GBaker/MedQA-USMLE-4-options-hf', 'GBaker/MedQA-USMLE-4-options', 'sileod/wikimedqa', 'declare-lab/cicero', 'amydeng2000/CREAK', 'metaeval/mutual', 'inverse-scaling/NeQA', 'inverse-scaling/quote-repetition', 'inverse-scaling/redefine-math', 'tasksource/puzzte', 'metaeval/implicatures', 'race', 'metaeval/spartqa-yn', 'metaeval/spartqa-mchoice', 'metaeval/temporal-nli', 'metaeval/ScienceQA_text_only', 'AndyChiang/cloth', 'metaeval/logiqa-2.0-nli', 'tasksource/oasst1_dense_flat', 'metaeval/boolq-natural-perturbations', 'metaeval/path-naturalness-prediction', 'riddle_sense', 'Jiangjie/ekar_english', 'metaeval/implicit-hate-stg1', 'metaeval/chaos-mnli-ambiguity', 'IlyaGusev/headline_cause', 'metaeval/race-c', 'metaeval/equate', 'metaeval/ambient', 'AndyChiang/dgen', 'metaeval/clcd-english', 'civil_comments', 'metaeval/acceptability-prediction', 'maximedb/twentyquestions', 'metaeval/counterfactually-augmented-snli', 'tasksource/I2D2', 'sileod/mindgames', 'metaeval/counterfactually-augmented-imdb', 'metaeval/cnli', 'metaeval/reclor', 'tasksource/oasst1_pairwise_rlhf_reward', 'tasksource/zero-shot-label-nli', 'webis/args_me', 'webis/Touche23-ValueEval', 'tasksource/starcon', 'tasksource/ruletaker', 'lighteval/lsat_qa', 'tasksource/ConTRoL-nli', 'tasksource/tracie', 'tasksource/sherliic', 'tasksource/sen-making', 'tasksource/winowhy', 'mediabiasgroup/mbib-base', 'tasksource/robustLR', 'CLUTRR/v1', 'tasksource/logical-fallacy', 'tasksource/parade', 'tasksource/cladder', 'tasksource/subjectivity', 'tasksource/MOH', 'tasksource/VUAC', 'tasksource/TroFi', 'sharc_modified', 'tasksource/conceptrules_v2', 'tasksource/disrpt', 'conll2000', 'DFKI-SLT/few-nerd', 'tasksource/com2sense', 'tasksource/scone', 'tasksource/winodict', 'tasksource/fool-me-twice', 'tasksource/monli', 'tasksource/corr2cause', 'tasksource/apt', 'zeroshot/twitter-financial-news-sentiment', 'tasksource/icl-symbol-tuning-instruct', 'tasksource/SpaceNLI', 'sihaochen/propsegment', 'HannahRoseKirk/HatemojiBuild', 'tasksource/regset', 'tasksource/babi_nli', 'lmsys/chatbot_arena_conversations']",en,['accuracy'],zero-shot-classification,2024-03-23 15:54:55+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'deberta-v3-small', 'deberta-v3', 'deberta', 'nli', 'natural-language-inference', 'multitask', 'multi-task', 'pipeline', 'extreme-multi-task', 'extreme-mtl', 'tasksource', 'zero-shot', 'rlhf', 'zero-shot-classification', 'en', 'dataset:nyu-mll/glue', 'dataset:super_glue', 'dataset:facebook/anli', 'dataset:tasksource/babi_nli', 'dataset:sick', 'dataset:snli', 'dataset:scitail', 'dataset:OpenAssistant/oasst1', 'dataset:universal_dependencies', 'dataset:hans', 'dataset:qbao775/PARARULE-Plus', 'dataset:alisawuffles/WANLI', 'dataset:metaeval/recast', 'dataset:sileod/probability_words_nli', 'dataset:joey234/nan-nli', 'dataset:pietrolesci/nli_fever', 'dataset:pietrolesci/breaking_nli', 'dataset:pietrolesci/conj_nli', 'dataset:pietrolesci/fracas', 'dataset:pietrolesci/dialogue_nli', 'dataset:pietrolesci/mpe', 'dataset:pietrolesci/dnc', 'dataset:pietrolesci/gpt3_nli', 'dataset:pietrolesci/recast_white', 'dataset:pietrolesci/joci', 'dataset:martn-nguyen/contrast_nli', 'dataset:pietrolesci/robust_nli', 'dataset:pietrolesci/robust_nli_is_sd', 'dataset:pietrolesci/robust_nli_li_ts', 'dataset:pietrolesci/gen_debiased_nli', 'dataset:pietrolesci/add_one_rte', 'dataset:metaeval/imppres', 'dataset:pietrolesci/glue_diagnostics', 'dataset:hlgd', 'dataset:PolyAI/banking77', 'dataset:paws', 'dataset:quora', 'dataset:medical_questions_pairs', 'dataset:conll2003', 'dataset:nlpaueb/finer-139', 'dataset:Anthropic/hh-rlhf', 'dataset:Anthropic/model-written-evals', 'dataset:truthful_qa', 'dataset:nightingal3/fig-qa', 'dataset:tasksource/bigbench', 'dataset:blimp', 'dataset:cos_e', 'dataset:cosmos_qa', 'dataset:dream', 'dataset:openbookqa', 'dataset:qasc', 'dataset:quartz', 'dataset:quail', 'dataset:head_qa', 'dataset:sciq', 'dataset:social_i_qa', 'dataset:wiki_hop', 'dataset:wiqa', 'dataset:piqa', 'dataset:hellaswag', 'dataset:pkavumba/balanced-copa', 'dataset:12ml/e-CARE', 'dataset:art', 'dataset:tasksource/mmlu', 'dataset:winogrande', 'dataset:codah', 'dataset:ai2_arc', 'dataset:definite_pronoun_resolution', 'dataset:swag', 'dataset:math_qa', 'dataset:metaeval/utilitarianism', 'dataset:mteb/amazon_counterfactual', 'dataset:SetFit/insincere-questions', 'dataset:SetFit/toxic_conversations', 'dataset:turingbench/TuringBench', 'dataset:trec', 'dataset:tals/vitaminc', 'dataset:hope_edi', 'dataset:strombergnlp/rumoureval_2019', 'dataset:ethos', 'dataset:tweet_eval', 'dataset:discovery', 'dataset:pragmeval', 'dataset:silicone', 'dataset:lex_glue', 'dataset:papluca/language-identification', 'dataset:imdb', 'dataset:rotten_tomatoes', 'dataset:ag_news', 'dataset:yelp_review_full', 'dataset:financial_phrasebank', 'dataset:poem_sentiment', 'dataset:dbpedia_14', 'dataset:amazon_polarity', 'dataset:app_reviews', 'dataset:hate_speech18', 'dataset:sms_spam', 'dataset:humicroedit', 'dataset:snips_built_in_intents', 'dataset:banking77', 'dataset:hate_speech_offensive', 'dataset:yahoo_answers_topics', 'dataset:pacovaldez/stackoverflow-questions', 'dataset:zapsdcn/hyperpartisan_news', 'dataset:zapsdcn/sciie', 'dataset:zapsdcn/citation_intent', 'dataset:go_emotions', 'dataset:allenai/scicite', 'dataset:liar', 'dataset:relbert/lexical_relation_classification', 'dataset:metaeval/linguisticprobing', 'dataset:tasksource/crowdflower', 'dataset:metaeval/ethics', 'dataset:emo', 'dataset:google_wellformed_query', 'dataset:tweets_hate_speech_detection', 'dataset:has_part', 'dataset:wnut_17', 'dataset:ncbi_disease', 'dataset:acronym_identification', 'dataset:jnlpba', 'dataset:species_800', 'dataset:SpeedOfMagic/ontonotes_english', 'dataset:blog_authorship_corpus', 'dataset:launch/open_question_type', 'dataset:health_fact', 'dataset:commonsense_qa', 'dataset:mc_taco', 'dataset:ade_corpus_v2', 'dataset:prajjwal1/discosense', 'dataset:circa', 'dataset:PiC/phrase_similarity', 'dataset:copenlu/scientific-exaggeration-detection', 'dataset:quarel', 'dataset:mwong/fever-evidence-related', 'dataset:numer_sense', 'dataset:dynabench/dynasent', 'dataset:raquiba/Sarcasm_News_Headline', 'dataset:sem_eval_2010_task_8', 'dataset:demo-org/auditor_review', 'dataset:medmcqa', 'dataset:aqua_rat', 'dataset:RuyuanWan/Dynasent_Disagreement', 'dataset:RuyuanWan/Politeness_Disagreement', 'dataset:RuyuanWan/SBIC_Disagreement', 'dataset:RuyuanWan/SChem_Disagreement', 'dataset:RuyuanWan/Dilemmas_Disagreement', 'dataset:lucasmccabe/logiqa', 'dataset:wiki_qa', 'dataset:metaeval/cycic_classification', 'dataset:metaeval/cycic_multiplechoice', 'dataset:metaeval/sts-companion', 'dataset:metaeval/commonsense_qa_2.0', 'dataset:metaeval/lingnli', 'dataset:metaeval/monotonicity-entailment', 'dataset:metaeval/arct', 'dataset:metaeval/scinli', 'dataset:metaeval/naturallogic', 'dataset:onestop_qa', 'dataset:demelin/moral_stories', 'dataset:corypaik/prost', 'dataset:aps/dynahate', 'dataset:metaeval/syntactic-augmentation-nli', 'dataset:metaeval/autotnli', 'dataset:lasha-nlp/CONDAQA', 'dataset:openai/webgpt_comparisons', 'dataset:Dahoas/synthetic-instruct-gptj-pairwise', 'dataset:metaeval/scruples', 'dataset:metaeval/wouldyourather', 'dataset:sileod/attempto-nli', 'dataset:metaeval/defeasible-nli', 'dataset:metaeval/help-nli', 'dataset:metaeval/nli-veridicality-transitivity', 'dataset:metaeval/natural-language-satisfiability', 'dataset:metaeval/lonli', 'dataset:tasksource/dadc-limit-nli', 'dataset:ColumbiaNLP/FLUTE', 'dataset:metaeval/strategy-qa', 'dataset:openai/summarize_from_feedback', 'dataset:tasksource/folio', 'dataset:metaeval/tomi-nli', 'dataset:metaeval/avicenna', 'dataset:stanfordnlp/SHP', 'dataset:GBaker/MedQA-USMLE-4-options-hf', 'dataset:GBaker/MedQA-USMLE-4-options', 'dataset:sileod/wikimedqa', 'dataset:declare-lab/cicero', 'dataset:amydeng2000/CREAK', 'dataset:metaeval/mutual', 'dataset:inverse-scaling/NeQA', 'dataset:inverse-scaling/quote-repetition', 'dataset:inverse-scaling/redefine-math', 'dataset:tasksource/puzzte', 'dataset:metaeval/implicatures', 'dataset:race', 'dataset:metaeval/spartqa-yn', 'dataset:metaeval/spartqa-mchoice', 'dataset:metaeval/temporal-nli', 'dataset:metaeval/ScienceQA_text_only', 'dataset:AndyChiang/cloth', 'dataset:metaeval/logiqa-2.0-nli', 'dataset:tasksource/oasst1_dense_flat', 'dataset:metaeval/boolq-natural-perturbations', 'dataset:metaeval/path-naturalness-prediction', 'dataset:riddle_sense', 'dataset:Jiangjie/ekar_english', 'dataset:metaeval/implicit-hate-stg1', 'dataset:metaeval/chaos-mnli-ambiguity', 'dataset:IlyaGusev/headline_cause', 'dataset:metaeval/race-c', 'dataset:metaeval/equate', 'dataset:metaeval/ambient', 'dataset:AndyChiang/dgen', 'dataset:metaeval/clcd-english', 'dataset:civil_comments', 'dataset:metaeval/acceptability-prediction', 'dataset:maximedb/twentyquestions', 'dataset:metaeval/counterfactually-augmented-snli', 'dataset:tasksource/I2D2', 'dataset:sileod/mindgames', 'dataset:metaeval/counterfactually-augmented-imdb', 'dataset:metaeval/cnli', 'dataset:metaeval/reclor', 'dataset:tasksource/oasst1_pairwise_rlhf_reward', 'dataset:tasksource/zero-shot-label-nli', 'dataset:webis/args_me', 'dataset:webis/Touche23-ValueEval', 'dataset:tasksource/starcon', 'dataset:tasksource/ruletaker', 'dataset:lighteval/lsat_qa', 'dataset:tasksource/ConTRoL-nli', 'dataset:tasksource/tracie', 'dataset:tasksource/sherliic', 'dataset:tasksource/sen-making', 'dataset:tasksource/winowhy', 'dataset:mediabiasgroup/mbib-base', 'dataset:tasksource/robustLR', 'dataset:CLUTRR/v1', 'dataset:tasksource/logical-fallacy', 'dataset:tasksource/parade', 'dataset:tasksource/cladder', 'dataset:tasksource/subjectivity', 'dataset:tasksource/MOH', 'dataset:tasksource/VUAC', 'dataset:tasksource/TroFi', 'dataset:sharc_modified', 'dataset:tasksource/conceptrules_v2', 'dataset:tasksource/disrpt', 'dataset:conll2000', 'dataset:DFKI-SLT/few-nerd', 'dataset:tasksource/com2sense', 'dataset:tasksource/scone', 'dataset:tasksource/winodict', 'dataset:tasksource/fool-me-twice', 'dataset:tasksource/monli', 'dataset:tasksource/corr2cause', 'dataset:tasksource/apt', 'dataset:zeroshot/twitter-financial-news-sentiment', 'dataset:tasksource/icl-symbol-tuning-instruct', 'dataset:tasksource/SpaceNLI', 'dataset:sihaochen/propsegment', 'dataset:HannahRoseKirk/HatemojiBuild', 'dataset:tasksource/regset', 'dataset:lmsys/chatbot_arena_conversations', 'arxiv:2301.05948', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
IDEA-CCNL/Erlangshen-Roberta-110M-NLI,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",625e33bb0bec31f086e4ad2c,83,3,['BertForSequenceClassification'],,['zh'],,text-classification,2023-05-26 06:41:07+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'roberta', 'NLU', 'NLI', 'Chinese', 'zh', 'arxiv:2209.02970', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
