Model Name,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model
ProsusAI/finbert,FIA,PIA,NIA,PIA,PIA,NIA
yiyanghkust/finbert-tone,PIA,PIA,NIA,PIA,PIA,FIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,NIA,PIA,PIA,FIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,NIA,PIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,NIA,PIA,PIA,FIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA,PIA
finiteautomata/beto-sentiment-analysis,PIA,PIA,NIA,NIA,NIA,PIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,PIA,NIA,NIA,NIA,FIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,PIA,NIA,NIA,PIA,FIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,PIA,PIA,NIA,NIA,NIA,PIA
oliverguhr/german-sentiment-bert,FIA,NIA,NIA,NIA,PIA,FIA
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,NIA,NIA,PIA
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
Seethal/sentiment_analysis_generic_dataset,FIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,FIA,NIA,NIA,NIA,PIA,PIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,FIA,NIA,NIA,NIA,NIA,FIA
snunlp/KR-FinBert-SC,FIA,NIA,NIA,NIA,NIA,NIA
soleimanian/financial-roberta-large-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,NIA,NIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA,FIA
RecordedFuture/Swedish-Sentiment-Fear,FIA,NIA,NIA,FIA,NIA,FIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis,FIA,NIA,NIA,NIA,PIA,PIA
