Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
ProsusAI/finbert,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
yiyanghkust/finbert-tone,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
finiteautomata/beto-sentiment-analysis,NIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,FIA,FIA,FIA,PIA,FIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
