Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
ProsusAI/finbert,FIA,FIA,FIA,FIA,PIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,FIA,PIA,NIA,NIA,NIA
yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,PIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,PIA,PIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,PIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,PIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,NIA,NIA,FIA,NIA,PIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
finiteautomata/beto-sentiment-analysis,NIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,PIA,NIA,FIA,FIA,PIA,PIA,FIA,PIA,FIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,FIA,FIA,PIA,NIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
