Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
sismetanin/rubert_conversational-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
RogerB/kin-sentiC,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
Anthos23/my-awesome-model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
course5i/SEAD-L-6_H-256_A-8-mnli,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,FIA,NIA,NIA,
Narsil/finbert-slow,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
FinScience/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
senfu/bert-base-uncased-top-pruned-mnli,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
ruanchaves/bert-base-portuguese-cased-porsimplessent,NIA,NIA,NIA,FIA,FIA,NIA,NIA,,FIA,NIA,FIA,FIA,
Cincin-nvp/NusaX-senti_XLM-R,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
rhythm00/HF_tutor,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model found on searching on HF
mlkorra/obgv-gender-bert-hi-en,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
Svetlana0303/Classfication_longformer,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sara-nabhani/ML-ns-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
yanezh/twiiter_try6_fold1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
davidchiii/news-headlines,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
Hyeonseo/finance_news_classifier,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
finiteautomata/beto-headlines-sentiment-analysis,NIA,NIA,NIA,FIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
MavisAJ/Sentiment_analysis_roberta_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
cardiffnlp/xlm-v-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
benjaminbeilharz/bert-base-uncased-sentiment-classifier,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
oandreae/financial_sentiment_model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_financial_news,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
UchihaMadara/phobert-finetuned-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
salohnana2018/ARABERT02-best-trail,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
neojex/testing,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card Empty
CultureBERT/roberta-large-adhocracy,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,FIA,
yanezh/twiiter_try10_fold4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
yanezh/twiiter_try15_fold3,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Tejas3/distillbert_base_uncased_80,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model found on searching on HF
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model found on searching on HF
CMunch/fine_tuned_dota,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/sa10-clm-20230403-001-3,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
hazrulakmal/bert-base-uncased-finetuned,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
intanm/fin-sa-post-trained-indobert-base-combined,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
chinmayapani/panich,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
bvint/autotrain-sphere-lecture-demo-1671659193,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
DingYao/autotrain-fbert-singlish-1755361190,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
jordankrishnayah/robertaSentimentBiasTestwithMBIC,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
EMBEDDIA/bertic-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
hazrulakmal/benchmark-finetuned-distilbert,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ultraleow/cloud4bert,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
researchaccount/sa_sub5,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
quesmed/tone,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/english-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
BramVanroy/bert-base-multilingual-cased-hebban-reviews,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
nuriafari/my_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
CultureBERT/roberta-large-market,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,FIA,
intanm/mlm_v1_20230327_fin_sa_10,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
DingYao/autotrain-fbert-singlish-2-1937065404,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
course5i/SEAD-L-6_H-384_A-12-mnli,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,FIA,NIA,NIA,
intanm/100-finSA-finLM-v1-001,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
cassiepowell/RoBERTa-large-mnli-for-agreement,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card NA
