Model Name,Testing Data,Factors,Metrics,Results,Summary
ProsusAI/finbert,PIA,PIA,PIA,PIA,PIA
yiyanghkust/finbert-tone,PIA,PIA,PIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,PIA,PIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,PIA,PIA
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA
finiteautomata/beto-sentiment-analysis,FIA,NIA,PIA,PIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,FIA,FIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,NIA,FIA,FIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,FIA,FIA,PIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,FIA,NIA,PIA,PIA,NIA
oliverguhr/german-sentiment-bert,PIA,NIA,FIA,FIA,PIA
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,FIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,NIA,NIA
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,PIA,PIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,NIA,NIA,NIA,NIA,NIA
snunlp/KR-FinBert-SC,PIA,NIA,FIA,FIA,NIA
soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,FIA,FIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,FIA,FIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,FIA,NIA,FIA,FIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,NIA,NIA,FIA,FIA,NIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,FIA,NIA,FIA,FIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,FIA,FIA,NIA
sbcBI/sentiment_analysis,PIA,PIA,PIA,PIA,PIA
yangheng/deberta-v3-base-absa-v1.1,PIA,NIA,PIA,PIA,PIA
hakonmh/sentiment-xdistil-uncased,PIA,NIA,PIA,PIA,NIA
avichr/heBERT_sentiment_analysis,PIA,NIA,FIA,FIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,FIA,FIA,NIA
