model,macro_f1
philschmid/distilbert-base-multilingual-cased-sentiment,0.7648
IsaacSarps/sentiment_analysis,0.7322
m3hrdadfi/albert-fa-base-v2-sentiment-multi,0.7072
bardsai/finance-sentiment-zh-fast,0.953
ramnika003/autotrain-sentiment_analysis_project-705021428,0.763
sahri/indonesiasentiment,0.9242
Venkatesh4342/xlm-roberta-helpdesk-sentiment,0.9549
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,0.7158353597
cardiffnlp/xlm-roberta-base-sentiment-multilingual,0.6628627127
bardsai/twitter-sentiment-pl-base,0.658
kinit/slovakbert-sentiment-twitter,0.671
clips/republic,0.864
zabiullah/autotrain-customers_email_sentiment-3449294006,0.986
RogerKam/roberta_fine_tuned_sentiment_sst3,0.7726
QuophyDzifa/Sentiment-Analysis-Model,0.7304
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,0.702093
cardiffnlp/roberta-base-tweet-sentiment-en,0.7012
gsl22/sentiment-analysis-v1,0.9967
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,0.8174
arize-ai/distilbert_reviews_with_language_drift,0.8167
venetis/electra-base-discriminator-finetuned-3d-sentiment,0.7864
bardsai/finance-sentiment-pl-fast,0.933
akoksal/bounti,0.701
sismetanin/sbert-ru-sentiment-krnd,0.7136
pin/senda,0.73
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,0.6168385894
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,0.5652
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,0.6294
gr8testgad-1/sentiment_analysis,0.6962
Souvikcmsa/SentimentAnalysisDistillBERT,0.7997458031
cardiffnlp/xlm-v-base-tweet-sentiment-pt,0.666
nickwong64/bert-base-uncased-finance-sentiment,0.854358
xyu1163/Testmodel_sentiment_with_3_labels,0.8543
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,0.906
Beanz1935/finetuning-sentiment-model-3000-samples,0.64
cardiffnlp/roberta-base-sentiment,0.7097736528
sismetanin/rubert-ru-sentiment-rureviews,0.74
Timothy1337/finetuning-sentiment-all_df,0.7683
venetis/deberta-v3-base-finetuned-3d-sentiment,0.8111
LondonStory/txlm-roberta-hindi-sentiment,0.89
rohanrajpal/bert-base-en-hi-codemix-cased,0.5583
mtyrrell/CPU_Transport_GHG_Classifier,0.9162
jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,0.9296
eevvgg/sentimenTw-political,0.712
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.596
cardiffnlp/xlm-v-base-tweet-sentiment-de,0.7351
Venkatesh4342/bert-base-uncased-finetuned-fin,0.8902
UholoDala/tweet_sentiments_analysis_bert,0.7618
LYTinn/finetuning-sentiment-model-tweet-gpt2,0.6908
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,0.6622
bardsai/finance-sentiment-pl-base,0.968
bright1/fine-tuned-twitter-Roberta-base-sentiment,0.7909
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,0.598
incredible45/News-Sentimental-model-Buy-Neutral-Sell,0.4431
evendivil/finetuning-sentiment-model-3000-samples,0.804
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,0.822
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,0.7614
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.6519
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.5578
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,0.6612
classla/bcms-bertic-parlasent-bcs-ter,0.794
warwickai/fin-perceiver,0.8416
rohanrajpal/bert-base-en-es-codemix-cased,0.717
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,0.9263
santis2/phrasebank-sentiment-analysis,0.837
bardsai/finance-sentiment-de-base,0.955
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,0.731
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,0.9697
cardiffnlp/xlm-v-base-tweet-sentiment-es,0.607
cardiffnlp/xlm-v-base-tweet-sentiment-it,0.702
bardsai/twitter-sentiment-pl-fast,0.57
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,0.684
DingYao/autotrain-fbert-singlish-5-1943965533,0.766
bardsai/finance-sentiment-ja-base,0.959
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,0.8564
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,0.8471
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,0.7178
tyqiangz/indobert-lite-large-p2-smsa,0.91
kartashoffv/vashkontrol-sentiment-rubert,0.9461
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,0.772
cardiffnlp/xlm-v-base-tweet-sentiment-fr,0.688
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,-
mirfan899/da_spacy_sentiment,0.824
cardiffnlp/xlm-v-base-tweet-sentiment-en,0.63935
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,0.8007
eevvgg/PaReS-sentimenTw-political-PL,0.944
venetis/distilroberta-base-finetuned-3d-sentiment,0.7474
devtanumisra/finetuning-sentiment-model-deberta-smote,0.7215
sasha/autotrain-BERTBase-TweetEval-1281248996,0.719
cardiffnlp/mbert-base-tweet-sentiment-it,0.59945
candra/indobertweet-sentiment2,-
RogerB/kin-sentiC,0.7066
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,0.618
FinScience/FS-distilroberta-fine-tuned,0.76
cardiffnlp/xlm-v-base-tweet-sentiment-ar,0.5983
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,0.6633
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,0.6898
RogerKam/roberta_fine_tuned_sentiment_financial_news,0.8865
yanezh/twiiter_try15_fold3,0.9805
hazrulakmal/bert-base-uncased-finetuned,0.8557
bvint/autotrain-sphere-lecture-demo-1671659193,0.478
DingYao/autotrain-fbert-singlish-1755361190,0.832
hazrulakmal/benchmark-finetuned-distilbert,0.8214
ultraleow/cloud4bert,0.9402
BramVanroy/bert-base-multilingual-cased-hebban-reviews,0.7821329848
DingYao/autotrain-fbert-singlish-2-1937065404,0.717
DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,0.7369
sismetanin/rubert_conversational-ru-sentiment-rureviews,0.7731
DunnBC22/fnet-base-Financial_Sentiment_Analysis,0.7472
bekbote/autotrain-dl-phrasebank-53436126044,0.97
debashish68/roberta-sent-generali,0.9104
gabrielkytz/novo,0.6997
sasha/autotrain-RobertaBaseTweetEval-1281048990,0.729
