,Model Name,%FIA,%PIA,%NIA,%U
0,ProsusAI/finbert,20.0,60.0,0.0,20.0
1,yiyanghkust/finbert-tone,20.0,60.0,20.0,0.0
2,cardiffnlp/twitter-roberta-base-sentiment-latest,0.0,60.0,40.0,0.0
3,cardiffnlp/twitter-xlm-roberta-base-sentiment,20.0,60.0,20.0,0.0
4,cardiffnlp/twitter-roberta-base-sentiment,20.0,0.0,80.0,0.0
5,blanchefort/rubert-base-cased-sentiment,20.0,40.0,40.0,0.0
6,finiteautomata/beto-sentiment-analysis,40.0,0.0,60.0,0.0
7,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,20.0,0.0,80.0,0.0
8,HooshvareLab/bert-fa-base-uncased-sentiment-digikala,40.0,60.0,0.0,0.0
9,ahmedrachid/FinancialBERT-Sentiment-Analysis,0.0,0.0,100.0,0.0
10,koheiduck/bert-japanese-finetuned-sentiment,20.0,40.0,40.0,0.0
11,finiteautomata/bertweet-base-sentiment-analysis,20.0,60.0,0.0,20.0
12,oliverguhr/german-sentiment-bert,40.0,0.0,60.0,0.0
13,christian-phu/bert-finetuned-japanese-sentiment,40.0,0.0,60.0,0.0
14,blanchefort/rubert-base-cased-sentiment-rusentiment,20.0,0.0,80.0,0.0
15,climatebert/distilroberta-base-climate-sentiment,0.0,0.0,100.0,0.0
16,Seethal/sentiment_analysis_generic_dataset,0.0,100.0,0.0,0.0
17,sbcBI/sentiment_analysis_model,60.0,0.0,40.0,0.0
18,lxyuan/distilbert-base-multilingual-cased-sentiments-student,80.0,0.0,20.0,0.0
19,snunlp/KR-FinBert-SC,20.0,0.0,80.0,0.0
20,soleimanian/financial-roberta-large-sentiment,20.0,0.0,60.0,20.0
21,RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,0.0,0.0,100.0,0.0
22,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,20.0,0.0,80.0,0.0
23,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,20.0,0.0,80.0,0.0
24,RecordedFuture/Swedish-Sentiment-Fear,0.0,0.0,100.0,0.0
25,knkarthick/Sentiment-Analysis,20.0,0.0,80.0,0.0
26,cardiffnlp/camembert-base-tweet-sentiment-fr,20.0,0.0,60.0,20.0
27,samayash/finetuning-financial-news-sentiment,0.0,100.0,0.0,0.0
28,sbcBI/sentiment_analysis,20.0,0.0,80.0,0.0
29,yangheng/deberta-v3-base-absa-v1.1,20.0,40.0,20.0,20.0
