model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa,Source,scores
ProsusAI/finbert,"['neutral', 'positive', 'negative']",621ffdc036468d709f176f71,2737414.0,339.0,['BertForSequenceClassification'],,en,,text-classification,2023-05-23T12:43:35.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'en', 'arxiv:1908.10063', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,,
yiyanghkust/finbert-tone,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f181abd,2482264.0,99.0,['BertForSequenceClassification'],,en,,text-classification,2022-10-17T00:35:39.000Z,"['transformers', 'pytorch', 'tf', 'text-classification', 'en', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,,
cardiffnlp/twitter-roberta-base-sentiment-latest,"['positive', 'neutral', 'negative']",622fea36174feb5439c2e4be,1264546.0,238.0,['RobertaForSequenceClassification'],['tweet_eval'],en,,text-classification,2023-05-28T05:45:10.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2202.03829', 'endpoints_compatible', 'has_space', 'region:us']",3,y,Tweets Dataset,
cardiffnlp/twitter-xlm-roberta-base-sentiment,"['positive', 'neutral', 'negative']",621ffdc136468d709f179e40,961859.0,138.0,['XLMRobertaForSequenceClassification'],,multilingual,,text-classification,2023-07-19T20:41:38.000Z,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'multilingual', 'arxiv:2104.12250', 'has_space', 'region:us']",3,y,Tweets Dataset,
cardiffnlp/twitter-roberta-base-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f179e37,918648.0,210.0,['RobertaForSequenceClassification'],['tweet_eval'],['en'],,text-classification,2023-01-20T09:52:13.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2010.12421', 'has_space', 'region:us']",3,y,Tweets Dataset,
blanchefort/rubert-base-cased-sentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f179b11,465540.0,8.0,['BertForSequenceClassification'],,['ru'],,text-classification,2023-04-06T04:06:36.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'ru', 'sentiment', 'region:us']",3,y,Aggregated Corpus,
finiteautomata/beto-sentiment-analysis,"['POS', 'NEG', 'NEU']",621ffdc136468d709f17b0e2,377631.0,20.0,['BertForSequenceClassification'],,['es'],,text-classification,2023-02-25T14:23:57.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'es', 'arxiv:2106.09462', 'sentiment-analysis', 'has_space', 'region:us']",3,y,TASS 2020 Tweets Dataset,
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e2c1,349196.0,85.0,['RobertaForSequenceClassification'],['financial_phrasebank'],,['accuracy'],text-classification,2023-03-16T20:03:13.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'roberta', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'financial', 'stocks', 'sentiment', 'license:apache-2.0', 'model-index', 'has_space', 'region:us']",3,y,Financial Phrasebank Dataset,"[{'name': 'distilRoberta-financial-sentiment', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'financial_phrasebank', 'type': 'financial_phrasebank', 'args': 'sentences_allagree'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9823008849557522, 'verified': False}]}]}]"
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,"['recommended', 'no_idea', 'not_recommended']",621ffdc036468d709f175df4,214707.0,1.0,['BertForSequenceClassification'],,fa,,text-classification,2021-05-18T20:59:17.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'fa', 'license:apache-2.0', 'region:us']",3,y,Digikala and Snappfood Comments,
ahmedrachid/FinancialBERT-Sentiment-Analysis,"['neutral', 'positive', 'negative']",621ffdc136468d709f1786f4,145619.0,41.0,['BertForSequenceClassification'],['financial_phrasebank'],en,,text-classification,2022-02-07T14:58:57.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'dataset:financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,Financial Phrasebank,
koheiduck/bert-japanese-finetuned-sentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",639bf0c434967bcf4562ff2d,119446.0,7.0,['BertForSequenceClassification'],,,,text-classification,2022-12-20T07:21:09.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y,,
