Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
sismetanin/rubert_conversational-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
RogerB/kin-sentiC,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Anthos23/my-awesome-model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
course5i/SEAD-L-6_H-256_A-8-mnli,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,FIA,NIA,NIA,
Narsil/finbert-slow,PIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,FIA,NIA,FIA,
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
FinScience/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
senfu/bert-base-uncased-top-pruned-mnli,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
ruanchaves/bert-base-portuguese-cased-porsimplessent,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,FIA,NIA,FIA,FIA,
Cincin-nvp/NusaX-senti_XLM-R,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
rhythm00/HF_tutor,,,,,,,,,,,,,No results
mlkorra/obgv-gender-bert-hi-en,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
Svetlana0303/Classfication_longformer,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sara-nabhani/ML-ns-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
yanezh/twiiter_try6_fold1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
davidchiii/news-headlines,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
Hyeonseo/finance_news_classifier,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
