model,architectures,mappings
oferweintraub/bert-base-finance-sentiment-noisy-search,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
nimaafshar/parsbert-fa-sentiment-twitter,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
KBLab/robust-swedish-sentiment-multiclass,MegatronBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""0"", ""NEGATIVE"": ""1""}"
mstafam/fine-tuned-bert-financial-sentiment-analysis,BertForSequenceClassification,"{""Neutral"": ""0"", ""Positive"": ""2"", ""Negative"": ""1""}"
traptrip/rosatom_survey_sentiment_classifier,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
philschmid/distilbert-base-multilingual-cased-sentiment,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
IsaacSarps/sentiment_analysis,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
Venkatesh4342/distilbert-helpdesk-sentiment,DistilBertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
m3hrdadfi/albert-fa-base-v2-sentiment-multi,AlbertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
bardsai/finance-sentiment-zh-fast,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
EMBEDDIA/rubert-tweetsentiment,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
ramnika003/autotrain-sentiment_analysis_project-705021428,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
pysentimiento/roberta-es-sentiment,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
Softechlb/Sent_analysis_CVs,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
ganeshkharad/gk-hinglish-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
akahana/indonesia-sentiment-roberta,RobertaForSequenceClassification,"{""POSITIF"": ""2"", ""NETRAL"": ""1"", ""NEGATIF"": ""0""}"
sahri/indonesiasentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
Venkatesh4342/xlm-roberta-helpdesk-sentiment,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
KernAI/stock-news-distilbert,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,BertForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
RashidNLP/Amazon-Deberta-Base-Sentiment,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
sudhanvasp/Sentiment-Analysis,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
dnzblgn/BART_Sentiment_Classification,BartForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
MMG/xlm-roberta-base-sa-spanish,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
cardiffnlp/xlm-roberta-base-sentiment-multilingual,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/bertweet-base-sentiment,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
slisowski/stock_sentiment_hp,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yj2773/hinglish11k-sentiment-analysis,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
bardsai/twitter-sentiment-pl-base,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
giotvr/portuguese-nli-3-labels,XLMRobertaForSequenceClassification,{}
mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,RobertaForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
kinit/slovakbert-sentiment-twitter,RobertaForSequenceClassification,"{""1"": ""2"", ""0"": ""1"", ""-1"": ""0""}"
clips/republic,BertForSequenceClassification,"{""pos"": ""2"", ""neg"": ""0"", ""neu"": ""1""}"
Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
TFLai/turkish-bert-128k-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
zabiullah/autotrain-customers_email_sentiment-3449294006,BertForSequenceClassification,"{""Satisfied"": ""2"", ""Unsatisfied"": ""0"", ""Neutral"": ""1""}"
RogerKam/roberta_fine_tuned_sentiment_sst3,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
nikunjbjj/jd-resume-model,BertForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
amphora/KorFinASC-XLM-RoBERTa,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
QuophyDzifa/Sentiment-Analysis-Model,DistilBertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
Vasanth/bert-stock-sentiment-analyzer,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
atowey01/hostel-reviews-sentiment-model,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""OTHER"": ""1"", ""NEGATIVE"": ""0""}"
mr4/phobert-base-vi-sentiment-analysis,RobertaForSequenceClassification,"{""Tích cực"": ""2"", ""Trung tính"": ""1"", ""Tiêu cực"": ""0""}"
cardiffnlp/roberta-base-tweet-sentiment-en,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
