Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
sismetanin/rubert-ru-sentiment-rureviews,PIA,NIA,NIA,NIA,NIA
Timothy1337/finetuning-sentiment-all_df,NIA,NIA,NIA,FIA,NIA
DSI/human-directed-sentiment,NIA,NIA,NIA,NIA,NIA
venetis/deberta-v3-base-finetuned-3d-sentiment,NIA,NIA,NIA,FIA,NIA
LondonStory/txlm-roberta-hindi-sentiment,PIA,PIA,NIA,NIA,NIA
ldeb/solved-finbert-tone,PIA,NIA,NIA,NIA,NIA
gabrielyang/finance_news_classifier-KR_v7,NIA,NIA,NIA,FIA,NIA
rohanrajpal/bert-base-en-hi-codemix-cased,PIA,PIA,FIA,NIA,NIA
Himanshusingh/finetunedfinbert-model,NIA,NIA,NIA,FIA,NIA
mtyrrell/CPU_Transport_GHG_Classifier,PIA,NIA,FIA,FIA,NIA
Cloudy1225/stackoverflow-roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA
jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,NIA,NIA,NIA,FIA,NIA
Theivaprakasham/sentence-transformers-paraphrase-MiniLM-L6-v2-twitter_sentiment,NIA,NIA,NIA,NIA,NIA
eevvgg/sentimenTw-political,NIA,PIA,PIA,PIA,PIA
techthiyanes/Bert_Bahasa_Sentiment,NIA,NIA,NIA,NIA,NIA
Elron/deberta-v3-large-sentiment,PIA,PIA,NIA,FIA,NIA
ErisGrey/my_models,NIA,NIA,NIA,NIA,NIA
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,FIA,NIA
gabrielkytz/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-de,PIA,NIA,NIA,NIA,NIA
elozano/tweet_sentiment_eval,NIA,NIA,NIA,NIA,NIA
adam-chell/tweet-sentiment-analyzer,NIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-codemixed-uncased-sentiment,PIA,PIA,FIA,NIA,NIA
jordankrishnayah/fullManifesto-ROBERTAsentiment2e,NIA,NIA,NIA,NIA,NIA
Yt99/SFinBERT,NIA,NIA,NIA,NIA,NIA
Venkatesh4342/bert-base-uncased-finetuned-fin,NIA,NIA,NIA,FIA,NIA
UholoDala/tweet_sentiments_analysis_bert,NIA,NIA,NIA,PIA,NIA
LYTinn/finetuning-sentiment-model-tweet-gpt2,NIA,NIA,NIA,PIA,NIA
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,NIA,NIA,NIA,FIA,NIA
bardsai/finance-sentiment-pl-base,NIA,NIA,NIA,NIA,NIA
bright1/fine-tuned-twitter-Roberta-base-sentiment,NIA,NIA,NIA,FIA,NIA
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,FIA,NIA
incredible45/News-Sentimental-model-Buy-Neutral-Sell,NIA,NIA,NIA,FIA,NIA
manvik28/FinBERT_Tuned,NIA,NIA,NIA,FIA,NIA
evendivil/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,FIA,NIA
ScriptEdgeAI/MarathiSentiment-Bloom-560m,NIA,NIA,NIA,NIA,NIA
Manauu17/enhanced_roberta_sentiments_es,NIA,NIA,NIA,NIA,NIA
HerbertAIHug/finetuned_sentiment_analysis_modell,NIA,NIA,NIA,NIA,NIA
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,PIA,NIA,NIA,NIA,NIA
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,PIA,NIA,NIA,FIA,NIA
raygx/BERT-NepSA-T2,NIA,NIA,NIA,PIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,FIA,NIA
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,FIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,FIA,NIA
ruanchaves/mdeberta-v3-base-porsimplessent,NIA,NIA,NIA,PIA,NIA
raygx/distilGPT-NepSA,NIA,NIA,NIA,NIA,NIA
classla/bcms-bertic-parlasent-bcs-ter,PIA,PIA,PIA,PIA,PIA
