model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa,Source,scores,downloadsAllTime
cardiffnlp/twitter-roberta-base-sentiment-latest,"['positive', 'neutral', 'negative']",622fea36174feb5439c2e4be,1264546.0,238.0,['RobertaForSequenceClassification'],['tweet_eval'],en,,text-classification,2023-05-28T05:45:10.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2202.03829', 'endpoints_compatible', 'has_space', 'region:us']",3,y,Tweets Dataset,,245504181.0
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e2c1,349196.0,85.0,['RobertaForSequenceClassification'],['financial_phrasebank'],,['accuracy'],text-classification,2023-03-16T20:03:13.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'roberta', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'financial', 'stocks', 'sentiment', 'license:apache-2.0', 'model-index', 'has_space', 'region:us']",3,y,Financial Phrasebank Dataset,"[{'name': 'distilRoberta-financial-sentiment', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'financial_phrasebank', 'type': 'financial_phrasebank', 'args': 'sentences_allagree'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9823008849557522, 'verified': False}]}]}]",132636398.0
cardiffnlp/twitter-roberta-base-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f179e37,918648.0,210.0,['RobertaForSequenceClassification'],['tweet_eval'],['en'],,text-classification,2023-01-20T09:52:13.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2010.12421', 'has_space', 'region:us']",3,y,Tweets Dataset,,90763177.0
lxyuan/distilbert-base-multilingual-cased-sentiments-student,"['positive', 'neutral', 'negative']",64552d5fd55525a4fee98c2a,36147.0,19.0,['DistilBertForSequenceClassification'],['tyqiangz/multilingual-sentiments'],"['en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt']",,text-classification,2023-06-24T04:09:07.000Z,"['transformers', 'pytorch', 'safetensors', 'distilbert', 'text-classification', 'en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt', 'dataset:tyqiangz/multilingual-sentiments', 'sentiment-analysis', 'zero-shot-distillation', 'distillation', 'zero-shot-classification', 'debarta-v3', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Multilingual Sentiment,"[{'name': 'distilbert-base-multilingual-cased-sentiments-student', 'results': []}]",56371162.0
ProsusAI/finbert,"['neutral', 'positive', 'negative']",621ffdc036468d709f176f71,2737414.0,339.0,['BertForSequenceClassification'],,en,,text-classification,2023-05-23T12:43:35.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'en', 'arxiv:1908.10063', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,,,42086975.0
yiyanghkust/finbert-tone,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f181abd,2482264.0,99.0,['BertForSequenceClassification'],,en,,text-classification,2022-10-17T00:35:39.000Z,"['transformers', 'pytorch', 'tf', 'text-classification', 'en', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,,,27429049.0
avichr/heBERT_sentiment_analysis,"['positive', 'negative', 'neutral']",621ffdc136468d709f1796d3,5871.0,7.0,['BertForSequenceClassification'],,,,text-classification,2021-12-31T16:08:22.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'arxiv:1810.04805', 'region:us']",3,y,"Ortiz2019, Wikipedia, ",,27087834.0
finiteautomata/bertweet-base-sentiment-analysis,"['POS', 'NEU', 'NEG']",621ffdc136468d709f17b0de,91786.0,79.0,['RobertaForSequenceClassification'],,['en'],,text-classification,2023-02-17T02:17:31.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'arxiv:2106.09462', 'sentiment-analysis', 'has_space', 'region:us']",3,y,SamEval Tweets Dataset,,26549371.0
cardiffnlp/twitter-xlm-roberta-base-sentiment,"['positive', 'neutral', 'negative']",621ffdc136468d709f179e40,961859.0,138.0,['XLMRobertaForSequenceClassification'],,multilingual,,text-classification,2023-07-19T20:41:38.000Z,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'multilingual', 'arxiv:2104.12250', 'has_space', 'region:us']",3,y,Tweets Dataset,,24294835.0
finiteautomata/beto-sentiment-analysis,"['POS', 'NEG', 'NEU']",621ffdc136468d709f17b0e2,377631.0,20.0,['BertForSequenceClassification'],,['es'],,text-classification,2023-02-25T14:23:57.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'es', 'arxiv:2106.09462', 'sentiment-analysis', 'has_space', 'region:us']",3,y,TASS 2020 Tweets Dataset,,14714873.0
