Model Name,FIA,NIA,PIA,U
ProsusAI/finbert,20.833333333333336,33.33333333333333,33.33333333333333,12.5
yiyanghkust/finbert-tone,20.833333333333336,29.166666666666668,41.66666666666667,8.333333333333332
cardiffnlp/twitter-roberta-base-sentiment-latest,16.666666666666664,37.5,41.66666666666667,4.166666666666666
cardiffnlp/twitter-xlm-roberta-base-sentiment,20.833333333333336,37.5,37.5,4.166666666666666
cardiffnlp/twitter-roberta-base-sentiment,20.833333333333336,75.0,4.166666666666666,0.0
blanchefort/rubert-base-cased-sentiment,12.5,62.5,12.5,12.5
finiteautomata/beto-sentiment-analysis,33.33333333333333,66.66666666666666,0.0,0.0
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,33.33333333333333,66.66666666666666,0.0,0.0
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,41.66666666666667,33.33333333333333,25.0,0.0
ahmedrachid/FinancialBERT-Sentiment-Analysis,8.333333333333332,87.5,0.0,4.166666666666666
koheiduck/bert-japanese-finetuned-sentiment,4.166666666666666,70.83333333333334,12.5,12.5
finiteautomata/bertweet-base-sentiment-analysis,37.5,29.166666666666668,29.166666666666668,4.166666666666666
oliverguhr/german-sentiment-bert,41.66666666666667,54.166666666666664,4.166666666666666,0.0
christian-phu/bert-finetuned-japanese-sentiment,20.833333333333336,79.16666666666666,0.0,0.0
blanchefort/rubert-base-cased-sentiment-rusentiment,25.0,70.83333333333334,0.0,4.166666666666666
climatebert/distilroberta-base-climate-sentiment,16.666666666666664,83.33333333333334,0.0,0.0
Seethal/sentiment_analysis_generic_dataset,12.5,37.5,45.83333333333333,4.166666666666666
sbcBI/sentiment_analysis_model,37.5,58.333333333333336,4.166666666666666,0.0
lxyuan/distilbert-base-multilingual-cased-sentiments-student,37.5,45.83333333333333,4.166666666666666,12.5
snunlp/KR-FinBert-SC,25.0,75.0,0.0,0.0
soleimanian/financial-roberta-large-sentiment,29.166666666666668,66.66666666666666,0.0,4.166666666666666
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,20.833333333333336,79.16666666666666,0.0,0.0
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,20.833333333333336,75.0,0.0,4.166666666666666
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,25.0,66.66666666666666,4.166666666666666,4.166666666666666
RecordedFuture/Swedish-Sentiment-Fear,8.333333333333332,83.33333333333334,4.166666666666666,4.166666666666666
knkarthick/Sentiment-Analysis,16.666666666666664,83.33333333333334,0.0,0.0
cardiffnlp/camembert-base-tweet-sentiment-fr,20.833333333333336,70.83333333333334,4.166666666666666,4.166666666666666
samayash/finetuning-financial-news-sentiment,12.5,37.5,45.83333333333333,4.166666666666666
sbcBI/sentiment_analysis,29.166666666666668,45.83333333333333,16.666666666666664,8.333333333333332
yangheng/deberta-v3-base-absa-v1.1,41.66666666666667,41.66666666666667,16.666666666666664,0.0
hakonmh/sentiment-xdistil-uncased,37.5,41.66666666666667,12.5,8.333333333333332
avichr/heBERT_sentiment_analysis,12.5,83.33333333333334,4.166666666666666,0.0
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,16.666666666666664,83.33333333333334,0.0,0.0
Sigma/financial-sentiment-analysis,29.166666666666668,54.166666666666664,4.166666666666666,12.5
w11wo/indonesian-roberta-base-sentiment-classifier,37.5,45.83333333333333,12.5,4.166666666666666
j-hartmann/sentiment-roberta-large-english-3-classes,25.0,29.166666666666668,37.5,8.333333333333332
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,33.33333333333333,62.5,4.166666666666666,0.0
fergusq/finbert-finnsentiment,12.5,87.5,0.0,0.0
abnersampaio/sentiment,50.0,41.66666666666667,0.0,8.333333333333332
neuraly/bert-base-italian-cased-sentiment,29.166666666666668,66.66666666666666,4.166666666666666,0.0
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,29.166666666666668,62.5,0.0,8.333333333333332
