,Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
0,ProsusAI/finbert,FIA,U,FIA,FIA,U,NIA,FIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,U,U,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,PIA,FIA,PIA,NIA,PIA,U,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
1,yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,U,NIA,FIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,PIA,PIA,FIA,NIA,NIA,PIA,U,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
2,cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,U,NIA,NIA
3,cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
4,cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
5,blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,NIA,NIA,U,NIA,PIA,PIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
6,finiteautomata/beto-sentiment-analysis,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
7,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
8,HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,U,FIA,FIA,PIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,FIA,PIA,FIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
9,ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,FIA,FIA,U,NIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
10,koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,FIA,PIA,PIA,NIA,NIA,U,NIA,PIA,PIA,NIA,U,PIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
11,finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,U,PIA,NIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,U
12,oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
13,christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
