Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
ProsusAI/finbert,FIA,FIA,FIA,FIA,PIA,NIA,FIA,,NIA,FIA,NIA,FIA,
yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,NIA,FIA,,FIA,FIA,NIA,FIA,
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,PIA,FIA,NIA,FIA,,FIA,FIA,FIA,FIA,
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,NIA,FIA,NIA,FIA,,FIA,FIA,NIA,PIA,
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,PIA,FIA,NIA,FIA,,FIA,FIA,FIA,FIA,
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
finiteautomata/beto-sentiment-analysis,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,FIA,NIA,NIA,FIA,
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,PIA,NIA,FIA,
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,FIA,FIA,PIA,NIA,FIA,,NIA,FIA,NIA,FIA,
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,FIA,NIA,NIA,FIA,
oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,
christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
climatebert/distilroberta-base-climate-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
snunlp/KR-FinBert-SC,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,The paper link was provided but upon opening the link the paper was not available
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,NIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
RecordedFuture/Swedish-Sentiment-Fear,NIA,NIA,FIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/camembert-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
sbcBI/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,
yangheng/deberta-v3-base-absa-v1.1,PIA,PIA,PIA,PIA,FIA,FIA,FIA,,FIA,PIA,NIA,NIA,
hakonmh/sentiment-xdistil-uncased,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,FIA,NIA,NIA,FIA,
avichr/heBERT_sentiment_analysis,PIA,PIA,PIA,FIA,FIA,NIA,FIA,,FIA,FIA,NIA,PIA,
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
Sigma/financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,FIA,FIA,FIA,FIA,FIA,,NIA,FIA,NIA,NIA,
j-hartmann/sentiment-roberta-large-english-3-classes,PIA,PIA,PIA,FIA,FIA,NIA,FIA,,NIA,FIA,NIA,FIA,
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,PIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,"1) Most of the information was provided in the paper but was not directly mentioned in the Model card.
2) Since the email Id for all the authors were provided in the paper and they all belong to the same institution, thus I am making an assumption that they were funded by the institution itself.
3) Since only the authors of the papers are mentioned, thus I am assuming that they have developed as well as shared the models."
fergusq/finbert-finnsentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,FIA,NIA,,NIA,NIA,NIA,NIA,
neuraly/bert-base-italian-cased-sentiment,PIA,NIA,PIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
lucas-leme/FinBERT-PT-BR,PIA,PIA,PIA,NIA,FIA,FIA,FIA,,NIA,FIA,NIA,FIA,For this model paper was provided but it was in Portuguese language that is why i did the Annotation on the basis of model card only
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,NIA,FIA,FIA,NIA,,NIA,NIA,NIA,FIA,
seara/rubert-tiny2-russian-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
mdraw/german-news-sentiment-bert,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,FIA,NIA,NIA,FIA,
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,FIA,FIA,FIA,,FIA,PIA,NIA,FIA,
eevvgg/StanceBERTa,FIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,PIA,FIA,FIA,FIA,,FIA,PIA,NIA,NIA,
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
turing-usp/FinBertPTBR,FIA,FIA,FIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
Voicelab/herbert-base-cased-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,NIA,,NIA,NIA,NIA,NIA,
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
l3cube-pune/marathi-sentiment-md,PIA,PIA,PIA,PIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,PIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,"1) Most of the information was provided in the paper but was not directly mentioned in the Model card.
2) Since the email Id for all the authors were provided in the paper and they all belong to the same institution, thus I am making an assumption that they were funded by the institution itself.
3) Since only the authors of the papers are mentioned, thus I am assuming that they have developed as well as shared the models."
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/twitter-roberta-base-dec2021-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
larskjeldgaard/senda,FIA,FIA,NIA,NIA,FIA,FIA,NIA,,NIA,NIA,NIA,FIA,
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,NIA,FIA,NIA,FIA,,FIA,FIA,NIA,PIA,
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
FinanceInc/auditor_sentiment_finetuned,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,FIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,FIA,
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,NIA,FIA,NIA,FIA,NIA,,NIA,NIA,NIA,FIA,
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,PIA,FIA,NIA,,NIA,NIA,NIA,NIA,
xaqren/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,,FIA,FIA,NIA,PIA,
Davlan/naija-twitter-sentiment-afriberta-large,PIA,PIA,PIA,NIA,FIA,NIA,FIA,,FIA,FIA,NIA,FIA,
bardsai/finance-sentiment-zh-base,FIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
seara/rubert-base-cased-russian-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,FIA,
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,PIA,NIA,FIA,,NIA,NIA,NIA,FIA,
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,NIA,NIA,PIA,FIA,FIA,,NIA,NIA,NIA,NIA,
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,FIA,PIA,FIA,FIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,FIA,NIA,FIA,FIA,,NIA,NIA,NIA,NIA,
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,FIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
aari1995/German_Sentiment,FIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ZiweiChen/FinBERT-FOMC,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,FIA,NIA,NIA,FIA,
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Model Card Is empty
alger-ia/dziribert_sentiment,PIA,PIA,PIA,FIA,FIA,NIA,NIA,,FIA,FIA,NIA,NIA,"1) Most of the information was provided in the paper but was not directly mentioned in the Model card.
2) Since the email Id for all the authors were provided in the paper and they all belong to the same institution, thus I am making an assumption that they were funded by the institution itself.
3) Since only the authors of the papers are mentioned, thus I am assuming that they have developed as well as shared the models."
