Model Name,Testing Data,Factors,Metrics,Results,Summary,Comments
ProsusAI/finbert,PIA,PIA,PIA,PIA,PIA,Available in paper/blog
yiyanghkust/finbert-tone,FIA,PIA,PIA,PIA,PIA,all PIA in paper.repo
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,PIA,PIA,Available in paper (all)
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,PIA,PIA,All columns given in paper
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,PIA,PIA,All columns given in paper
blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA,No info given
finiteautomata/beto-sentiment-analysis,PIA,PIA,PIA,PIA,PIA,All these columns given in paper
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,FIA,FIA,NIA,Training results and metrics given
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,NIA,PIA,FIA,PIA,
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,PIA,FIA,FIA,PIA,PIA columns given in paper
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,
finiteautomata/bertweet-base-sentiment-analysis,PIA,PIA,PIA,PIA,PIA,All columns given in paper
oliverguhr/german-sentiment-bert,PIA,PIA,FIA,PIA,PIA,PIA columns given in paper and repo
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,FIA,FIA,NIA,assuming data to split into test and train
blanchefort/rubert-base-cased-sentiment-rusentiment,FIA,NIA,NIA,NIA,NIA,assuming data to split into test and train
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,NIA,NIA,assuming data to split into test and train
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,NIA,FIA,
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,PIA,PIA,Given in paper/repo
lxyuan/distilbert-base-multilingual-cased-sentiments-student,FIA,NIA,PIA,PIA,PIA,assuming data to split into test and train
snunlp/KR-FinBert-SC,FIA,NIA,FIA,FIA,NIA,assuming data to split into test and train
soleimanian/financial-roberta-large-sentiment,FIA,NIA,PIA,PIA,NIA,"assuming data to split into test and train, PIA in colab"
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,FIA,NIA,FIA,FIA,NIA,assuming data to split into test and train
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,FIA,FIA,NIA,Results and metrics are shown in model card
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,FIA,PIA,FIA,FIA,PIA,"FIA in model card, PIA in repo/paper"
RecordedFuture/Swedish-Sentiment-Fear,FIA,NIA,FIA,FIA,NIA,"Results and metrics are shown in model card, assuming data to split into test and train"
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,no information given
cardiffnlp/camembert-base-tweet-sentiment-fr,FIA,NIA,FIA,FIA,NIA,"assuming data to split into test and train, Results and metrics are shown in model card"
samayash/finetuning-financial-news-sentiment,NIA,NIA,FIA,FIA,NIA,
sbcBI/sentiment_analysis,PIA,PIA,PIA,PIA,PIA,All of these coulmns given in paper
yangheng/deberta-v3-base-absa-v1.1,FIA,PIA,PIA,PIA,PIA,All PIA columns in paper or repo
hakonmh/sentiment-xdistil-uncased,FIA,PIA,FIA,FIA,PIA,All PIA columns in paper
avichr/heBERT_sentiment_analysis,FIA,PIA,FIA,FIA,PIA,All PIA columns in paper or repo
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,No model card
Sigma/financial-sentiment-analysis,NIA,NIA,FIA,FIA,NIA,Only metrics and eval results given
w11wo/indonesian-roberta-base-sentiment-classifier,PIA,PIA,FIA,FIA,PIA,Only results and metrics given in model card
j-hartmann/sentiment-roberta-large-english-3-classes,PIA,PIA,PIA,PIA,PIA,Given in paper
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,FIA,PIA,PIA,PIA,PIA,Given in paper/repo
fergusq/finbert-finnsentiment,FIA,PIA,FIA,FIA,PIA,"Metric, results and dataset info given in model card, rest, indirectly in paper"
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,No information given
neuraly/bert-base-italian-cased-sentiment,FIA,FIA,FIA,FIA,NIA,"FIA given in model card. Factor is given in bias, risks and limitations as it talks about domain"
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,FIA,FIA,NIA,Results and metrics shown in model card
MonoHime/rubert-base-cased-sentiment-new,NIA,NIA,NIA,NIA,NIA,No information given
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,No information given
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,None mentioned
