Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
ProsusAI/finbert,FIA,PIA,FIA,FIA,FIA,PIA,FIA,PIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,PIA,FIA,PIA,NIA,PIA,FIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,FIA,PIA,NIA,PIA,FIA,NIA,FIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA
finiteautomata/beto-sentiment-analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,PIA,NIA,FIA,NIA,PIA,FIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,NIA,FIA,FIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,PIA,PIA,FIA,PIA,FIA,PIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
