Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
ProsusAI/finbert,FIA,NIA,NIA,NIA,NIA
yiyanghkust/finbert-tone,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment-latest,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-sentiment,FIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment,FIA,NIA,NIA,NIA,NIA
finiteautomata/beto-sentiment-analysis,FIA,NIA,NIA,NIA,NIA
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,FIA,NIA,NIA,FIA,NIA
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,FIA,NIA,NIA,NIA,NIA
ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,NIA,FIA,NIA
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,FIA,NIA,NIA,NIA,NIA
oliverguhr/german-sentiment-bert,FIA,PIA,PIA,NIA,NIA
christian-phu/bert-finetuned-japanese-sentiment,FIA,NIA,NIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,FIA,NIA,NIA,NIA,NIA
climatebert/distilroberta-base-climate-sentiment,FIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,NIA,NIA,NIA,NIA,NIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,FIA,PIA,PIA,NIA
snunlp/KR-FinBert-SC,FIA,FIA,NIA,FIA,NIA
soleimanian/financial-roberta-large-sentiment,FIA,NIA,NIA,NIA,NIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,FIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,FIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,FIA,NIA,NIA,NIA,NIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,FIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,FIA,NIA
sbcBI/sentiment_analysis,NIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-base-absa-v1.1,FIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,FIA,PIA,NIA,NIA,NIA
avichr/heBERT_sentiment_analysis,FIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,FIA,NIA,NIA,FIA,NIA
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,FIA,NIA,NIA,NIA
j-hartmann/sentiment-roberta-large-english-3-classes,FIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,FIA,NIA,NIA,NIA,NIA
fergusq/finbert-finnsentiment,FIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,FIA,FIA,FIA,FIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,FIA,NIA,NIA,NIA,NIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,FIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,FIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,FIA,NIA,NIA,FIA,NIA
lucas-leme/FinBERT-PT-BR,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,FIA,PIA,PIA,PIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,FIA,NIA,NIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,FIA,NIA,NIA,FIA,NIA
mdraw/german-news-sentiment-bert,FIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
alexandrainst/da-sentiment-base,FIA,NIA,NIA,NIA,NIA
eevvgg/StanceBERTa,NIA,FIA,FIA,FIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,FIA,NIA,NIA,FIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,FIA,FIA,NIA,NIA,NIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,FIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,FIA,NIA,NIA,FIA,NIA
turing-usp/FinBertPTBR,NIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,PIA,NIA,PIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,FIA,NIA,NIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,FIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,FIA,PIA,PIA,FIA,NIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,FIA,NIA,FIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,FIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,FIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,NIA,NIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,FIA,NIA,NIA,NIA,NIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,PIA,NIA,FIA,NIA
FinanceInc/auditor_sentiment_finetuned,FIA,PIA,NIA,FIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,NIA,NIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,PIA,NIA,FIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,NIA,NIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,PIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,NIA,NIA,NIA,NIA,NIA
Davlan/naija-twitter-sentiment-afriberta-large,FIA,FIA,NIA,NIA,NIA
bardsai/finance-sentiment-zh-base,FIA,NIA,NIA,NIA,NIA
seara/rubert-base-cased-russian-sentiment,FIA,NIA,NIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-med,FIA,NIA,NIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,FIA,NIA,NIA,NIA,NIA
RashidNLP/Finance-Sentiment-Classification,FIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,FIA,NIA,NIA,FIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,FIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,FIA,NIA,NIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,FIA,NIA,NIA,FIA,NIA
ZiweiChen/FinBERT-FOMC,PIA,PIA,PIA,NIA,NIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,PIA,PIA,PIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rurewiews,FIA,NIA,NIA,NIA,NIA
z-dickson/multilingual_sentiment_newspaper_headlines,FIA,NIA,NIA,FIA,NIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,FIA,FIA,PIA,FIA,NIA
