model,empirical_te,empirical_amr,empirical_fp,reported_f1
ProsusAI/finbert,0.3678760697619197,0.4209654531215652,0.8825330133105712,0.84
cardiffnlp/twitter-xlm-roberta-base-sentiment,0.6827720262815221,0.5974018905244479,0.5153201433586816,0.6689
finiteautomata/beto-sentiment-analysis,0.4607804033680547,0.4982057676229277,0.35994075165994327,0.672
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,0.20707758268215018,0.23893783092827867,0.16593473188038363,0.8172
ahmedrachid/FinancialBERT-Sentiment-Analysis,0.3549968836778424,0.3530140026197963,0.9527344054650184,0.98
finiteautomata/bertweet-base-sentiment-analysis,0.8180293292260075,0.671568373800243,0.6572776525638707,0.72
christian-phu/bert-finetuned-japanese-sentiment,0.20405393858968998,0.18585699487708474,0.16176552667660918,0.73
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,0.5798567826292857,0.6449359623245459,0.787307225818457,0.97
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.6258400638497889,0.6853953078177134,0.5951367274969315,0.81
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,0.6881565956276267,0.6295295825980318,0.5669694270882477,0.69
RecordedFuture/Swedish-Sentiment-Fear,0.1064126307125353,0.16666071421485174,0.07388379204892967,0.87
cardiffnlp/camembert-base-tweet-sentiment-fr,0.5447545524916569,0.5599630395177437,0.49071025578827476,0.73
samayash/finetuning-financial-news-sentiment,0.3316500239565891,0.4011353506440427,0.8968143315552525,0.875
hakonmh/sentiment-xdistil-uncased,0.443053645511851,0.6160281857635382,0.9091409987633772,0.934
avichr/heBERT_sentiment_analysis,0.368908913453271,0.32346198544161414,0.29170253574911315,0.86
Sigma/financial-sentiment-analysis,0.33221867935538835,0.33958809707174,0.8288112567295985,0.992
w11wo/indonesian-roberta-base-sentiment-classifier,0.4970812885059417,0.43511691020007753,0.3305805278942738,0.92
fergusq/finbert-finnsentiment,0.3148572728127629,0.2612003704107117,0.24922407819682746,0.864
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,0.5706930347225024,0.6857524736180117,0.311013040067942,0.64
philschmid/distilbert-base-multilingual-cased-sentiment-2,0.3362747639027683,0.7830740247071025,0.2587889488932679,0.748
lucas-leme/FinBERT-PT-BR,0.3079764444981939,0.25538625949349597,0.3788093943580019,0.73
abhishek/autonlp-swahili-sentiment-615517563,0.2047027506146564,0.18251564645151416,0.1954893814817191,0.61
Jean-Baptiste/roberta-large-financial-news-sentiment-en,0.39594097693998603,0.6588710673104359,0.8985741952825134,0.932
seara/rubert-tiny2-russian-sentiment,0.5093841669778766,0.6567235908679243,0.4226170980107978,0.75
emre/turkish-sentiment-analysis,0.28751887568909784,0.3043968489827686,0.32885359533568365,0.95
eevvgg/StanceBERTa,0.499702456309447,0.4824818055866716,0.3132815804627851,0.778
IAyoub/finetuning-bert-sentiment-reviews-2,0.5392126387979219,0.6048695147530986,0.4093893350543038,0.837
Voicelab/herbert-base-cased-sentiment,0.39641688299401506,0.48724517025095765,0.2869655600635843,0.705
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,0.5263181488061185,0.5416208590899848,0.4281445701951327,0.91
cardiffnlp/twitter-roberta-base-dec2021-sentiment,0.81395378289018,0.6561353698092488,0.5770762133326366,0.715
Souvikcmsa/BERT_sentiment_analysis,0.6312393566161759,0.6729179430371395,0.5571983685501932,0.802
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,0.3364457181679669,0.42581267209382334,0.1877888144725289,0.583
FinanceInc/auditor_sentiment_finetuned,0.3095448721530405,0.33174351522232026,0.902247888241471,0.845
RecordedFuture/Swedish-Sentiment-Violence,0.1064126307125353,0.16666666666666666,0.07388379204892967,0.768
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,0.565649149772186,0.4545082241662544,0.3369863692771224,0.836
bardsai/finance-sentiment-zh-base,0.21156555987385747,0.17040940937554724,0.25115216437164406,0.966
