Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
ProsusAI/finbert,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,FIA,NIA,PIA,
yiyanghkust/finbert-tone,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,FIA,FIA,FIA,NIA,FIA,,FIA,FIA,NIA,FIA,
cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,FIA,FIA,FIA,NIA,FIA,,FIA,FIA,NIA,PIA,"developed by, information is known from the company/organisation"
cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,FIA,FIA,FIA,NIA,FIA,,FIA,FIA,NIA,FIA,"developed by, information is known from the company/organisation"
blanchefort/rubert-base-cased-sentiment,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
finiteautomata/beto-sentiment-analysis,NIA,NIA,FIA,FIA,FIA,FIA,FIA,,FIA,NIA,NIA,PIA,
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,PIA,
ahmedrachid/FinancialBERT-Sentiment-Analysis,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,PIA,the model card is completely empty for this model
finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,FIA,FIA,FIA,FIA,FIA,,FIA,FIA,NIA,FIA,
oliverguhr/german-sentiment-bert,PIA,PIA,FIA,FIA,FIA,PIA,FIA,,FIA,FIA,NIA,PIA,"devloped by, information is  known from the paper"
christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
climatebert/distilroberta-base-climate-sentiment,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sbcBI/sentiment_analysis_model,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
snunlp/KR-FinBert-SC,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
soleimanian/financial-roberta-large-sentiment,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,no information given about none dataset
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,FIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,PIA,"I did not consider the validation metrics provided as a evaluation criteria for the model, AutoNlp model but no additional information provided"
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,PIA,PIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
RecordedFuture/Swedish-Sentiment-Fear,PIA,PIA,FIA,PIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,"developed by, information is known from the company/organisation"
