,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
101,oferweintraub/bert-base-finance-sentiment-noisy-search,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e9d1,100.0,1.0,['BertForSequenceClassification'],,,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2022-03-31T14:13:45.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'Finance-sentiment-analysis', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
102,nimaafshar/parsbert-fa-sentiment-twitter,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e769,100.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-20T01:50:49.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'region:us']",3,y
103,KBLab/robust-swedish-sentiment-multiclass,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",6458c0af39e6aea69cb83559,98.0,2.0,['MegatronBertForSequenceClassification'],,['sv'],,text-classification,2023-06-16T10:14:05.000Z,"['transformers', 'pytorch', 'safetensors', 'megatron-bert', 'text-classification', 'sv', 'license:apache-2.0', 'region:us']",3,y
104,mstafam/fine-tuned-bert-financial-sentiment-analysis,"['Neutral', 'Positive', 'Negative']",64f26e78c56c1f297f0b8e9c,93.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-09-02T00:06:19.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'sentiment', 'sentiment-analysis', 'financial', 'fine-tuned', 'fine-tuned-bert', 'bert-uncased', 'license:mit', 'region:us']",3,y
105,traptrip/rosatom_survey_sentiment_classifier,"['positive', 'neutral', 'negative']",64fc490931a82e0d40485241,91.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-09-09T10:29:48.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
106,philschmid/distilbert-base-multilingual-cased-sentiment,"['positive', 'neutral', 'negative']",621ffdc136468d709f17ee55,90.0,0.0,['DistilBertForSequenceClassification'],['amazon_reviews_multi'],,"['accuracy', 'f1']",text-classification,2022-01-24T12:14:53.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'dataset:amazon_reviews_multi', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
107,IsaacSarps/sentiment_analysis,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64fd95899132c7f62a4378c3,90.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-10T12:27:19.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us', 'has_space']",3,y
108,Venkatesh4342/distilbert-helpdesk-sentiment,"['Positive', 'Neutral', 'Negative']",64fed1af88125cdf88758e48,82.0,0.0,['DistilBertForSequenceClassification'],,,['accuracy'],text-classification,2023-09-22T17:33:39.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
109,m3hrdadfi/albert-fa-base-v2-sentiment-multi,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f17dac5,77.0,1.0,['AlbertForSequenceClassification'],,fa,,text-classification,2020-12-26T08:46:20.000Z,"['transformers', 'pytorch', 'tf', 'albert', 'text-classification', 'fa', 'license:apache-2.0', 'region:us']",3,y
110,hw2942/bert-base-chinese-finetuning-financial-news-sentiment,"['Neutral', 'Positive', 'Negative']",648923d236f312a1badbb341,76.0,0.0,['BertForSequenceClassification'],,['zh'],,text-classification,2023-06-14T03:30:15.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'zh', 'finance', 'region:us']",3,y
111,bardsai/finance-sentiment-zh-fast,"['positive', 'neutral', 'negative']",64aeb6e45de9402882df3f8e,75.0,1.0,['DistilBertForSequenceClassification'],['datasets/financial_phrasebank'],zh,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-07-12T14:48:43.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'zh', 'dataset:datasets/financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
